raw.file,biological.replicate,technical.replicate,fraction
290212-A1a,1,1,1
290212-A1b,1,2,1
290212-A2a,1,1,2
290212-A2b,1,2,2
290212-A3a,1,1,3
290212-A3b,1,2,3
290212-A4a,1,1,4
290212-A4b,1,2,4
290212-A5a,1,1,5
290212-A5b,1,2,5
290212-A6a,1,1,6
290212-A6b,1,2,6
290212-B1a,2,1,1
290212-B1b,2,2,1
290212-B2a,2,1,2
290212-B2b,2,2,2
290212-B3a,2,1,3
290212-B3b,2,2,3
290212-B4a,2,1,4
290212-B4b,2,2,4
290212-B5a,2,1,5
290212-B5b,2,2,5
290212-B6a,2,1,6
290212-B6b,2,2,6
290212-C1a,3,1,1
290212-C1b,3,2,1
290212-C2a,3,1,2
290212-C2b,3,2,2
290212-C3a,3,1,3
290212-C3b,3,2,3
290212-C4a,3,1,4
290212-C4b,3,2,4
290212-C5a,3,1,5
290212-C5b,3,2,5
290212-C6a,3,1,6
290212-C6b,3,2,6
